"bluestock_fintech_—_nifty_100__|__profit_&_loss__|__1,276_records",unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,unnamed:_14,year_label,fiscal_year,quarter,is_ttm,is_half_year,sort_order,net_profit_margin_pct,expense_ratio_pct,interest_coverage
235,BAJAJFINSV,Mar 2016,20533,13795,6739,33,0,2877,58,3804,27,2775,12,1,235,,,False,False,0,,,
236,BAJAJFINSV,Mar 2017,24507,15794,8713,36,0,3716,73,4925,30,3450,14,1,236,,,False,False,0,,,
237,BAJAJFINSV,Mar 2018,32862,22074,10788,33,1,4531,160,6099,32,4176,17,1,237,,,False,False,0,,,
238,BAJAJFINSV,Mar 2019,42605,27569,15037,35,2,6657,226,8155,34,5374,20,1,238,,,False,False,0,,,
239,BAJAJFINSV,Mar 2020,54351,36094,18258,34,0,9500,457,8302,28,5994,21,2,239,,,False,False,0,,,
240,BAJAJFINSV,Mar 2021,60592,40950,19641,32,-7,9274,498,9862,25,7367,28,1,240,,,False,False,0,,,
241,BAJAJFINSV,Mar 2022,68406,46951,21455,31,8,9629,563,11271,26,8314,29,1,241,,,False,False,0,,,
242,BAJAJFINSV,Mar 2023,82072,52204,29868,36,1,12380,678,16811,27,12210,40,2,242,,,False,False,0,,,
243,BAJAJFINSV,Mar 2024,110382,69497,40886,37,-4,18607,900,21375,27,15595,51,2,243,,,False,False,0,,,
244,BAJAJFINSV,TTM,126263,80784,45479,36,12,21568,1031,22892,,16520,53,,244,,,False,False,0,,,
245,BAJAJHLDNG,Mar 2013,337,15,322,95,3,0,2,322,21,1856,167,15,245,,,False,False,0,,,
246,BAJAJHLDNG,Mar 2014,423,23,400,94,5,0,5,400,20,1988,179,17,246,,,False,False,0,,,
247,BAJAJHLDNG,Mar 2015,524,40,484,92,35,0,6,513,19,2029,182,19,247,,,False,False,0,,,
248,BAJAJHLDNG,Mar 2016,470,42,429,91,7,0,5,430,21,2265,204,16,248,,,False,False,0,,,
249,BAJAJHLDNG,Mar 2017,842,215,628,75,8,0,5,630,21,2473,222,15,249,,,False,False,0,,,
250,BAJAJHLDNG,Mar 2018,420,65,355,85,2390,0,5,2739,3,2655,239,17,250,,,False,False,0,,,
251,BAJAJHLDNG,Mar 2019,431,85,347,80,2827,0,4,3170,4,3048,274,12,251,,,False,False,0,,,
252,BAJAJHLDNG,Mar 2020,435,134,301,69,3058,13,33,3314,7,3080,269,15,252,,,False,False,0,,,
253,BAJAJHLDNG,Mar 2021,457,106,352,77,3451,4,34,3766,3,3654,328,12,253,,,False,False,0,,,
254,BAJAJHLDNG,Mar 2022,484,117,367,76,3896,3,34,4226,2,4126,364,32,254,,,False,False,0,,,
255,BAJAJHLDNG,Mar 2023,522,142,380,73,4673,7,34,5012,1,4946,436,28,255,,,False,False,0,,,
256,BAJAJHLDNG,Mar 2024,1702,140,1562,92,5967,2,34,7493,2,7365,653,20,256,,,False,False,0,,,
257,BAJAJHLDNG,TTM,1733,178,1554,90,6055,2,34,7574,,7486,666,,257,,,False,False,0,,,
258,BAJFINANCE,Mar 2015,5392,2274,1752,1367,25,26,36,1357,34,898,18,10,258,,,False,False,0,,,
259,BAJFINANCE,Mar 2016,7299,2959,2354,1986,27,35,56,1965,35,1279,24,10,259,,,False,False,0,,,
260,BAJFINANCE,Mar 2017,9970,3853,3250,2867,29,22,71,2817,35,1836,33,11,260,,,False,False,0,,,
261,BAJFINANCE,Mar 2018,12746,4696,4115,3935,31,10,102,3843,35,2496,43,9,261,,,False,False,0,,,
262,BAJFINANCE,Mar 2019,18487,6723,5454,6310,34,13,144,6179,35,3995,69,9,262,,,False,False,0,,,
263,BAJFINANCE,Mar 2020,26374,9608,9159,7608,29,9,295,7322,28,5264,87,11,263,,,False,False,0,,,
264,BAJFINANCE,Mar 2021,26673,9519,10839,6314,24,3,325,5992,26,4420,73,14,264,,,False,False,0,,,
265,BAJFINANCE,Mar 2022,31641,9855,11880,9906,31,-17,385,9504,26,7028,116,17,265,,,False,False,0,,,
266,BAJFINANCE,Mar 2023,41411,12701,12693,16018,39,-5,485,15528,26,11508,190,16,266,,,False,False,0,,,
267,BAJFINANCE,Mar 2024,54972,18886,16099,19987,36,6,683,19310,25,14451,233,15,267,,,False,False,0,,,
268,BAJFINANCE,TTM,62279,21918,18943,21417,34,29,779,20667,,15389,248,,268,,,False,False,0,,,
269,BANKBARODA,Mar 2013,36442,24486,10950,1006,3,4511,322,5195,9,4829,23,19,269,,,False,False,0,,,
270,BANKBARODA,Mar 2014,40463,27604,12049,809,2,5555,368,5996,18,5036,23,19,270,,,False,False,0,,,
271,BANKBARODA,Mar 2015,44915,30547,13466,902,2,5449,368,5983,36,3950,18,18,271,,,False,False,0,,,
272,BANKBARODA,Mar 2016,45799,32107,25391,-11700,-26,5992,525,-6233,-19,-5033,-22,0,272,,,False,False,0,,,
273,BANKBARODA,Mar 2017,44473,29596,19250,-4372,-10,7937,540,3024,41,1855,8,15,273,,,False,False,0,,,
274,BANKBARODA,Mar 2018,46056,29160,26093,-9197,-20,7992,901,-2106,-9,-1836,-7,0,274,,,False,False,0,,,
275,BANKBARODA,Mar 2019,52906,32506,25815,-5414,-10,7887,948,1525,29,1166,4,0,275,,,False,False,0,,,
276,BANKBARODA,Mar 2020,78895,50040,40583,-11728,-15,12191,1697,-1234,-99,981,2,0,276,,,False,False,0,,,
277,BANKBARODA,Mar 2021,74314,43201,38070,-6957,-9,14687,1357,6373,77,1620,3,0,277,,,False,False,0,,,
278,BANKBARODA,Mar 2022,73385,38815,37518,-2948,-4,14395,1438,10008,23,7933,15,19,278,,,False,False,0,,,
279,BANKBARODA,Mar 2023,94503,49942,38231,6329,7,16275,2040,20565,29,15005,29,19,279,,,False,False,0,,,
280,BANKBARODA,Mar 2024,118379,69899,44379,4102,3,23399,1702,25799,29,18869,36,21,280,,,False,False,0,,,
281,BANKBARODA,TTM,124144,74160,46459,3526,3,23807,0,27332,,20144,39,,281,,,False,False,0,,,
282,BHARTIARTL,Mar 2013,76947,53987,22960,30,1159,4519,14815,4785,53,2267,4,17,282,,,False,False,0,,,
283,BHARTIARTL,Mar 2014,85864,59352,26512,31,2881,5879,15650,7864,62,3019,5,26,283,,,False,False,0,,,
284,BHARTIARTL,Mar 2015,96101,62499,33602,35,1243,4446,19858,10540,52,5048,8,33,284,,,False,False,0,,,
285,BHARTIARTL,Mar 2016,96532,62548,33984,35,4858,8546,17450,12846,46,6893,11,9,285,,,False,False,0,,,
286,BHARTIARTL,Mar 2017,95468,60138,35330,37,1713,9547,19773,7723,45,4241,7,11,286,,,False,False,0,,,
287,BHARTIARTL,Mar 2018,82639,52560,30079,36,1756,9326,19243,3267,33,2184,2,194,287,,,False,False,0,,,
288,BHARTIARTL,Mar 2019,80780,55016,25764,32,4474,10622,21348,-1732,-99,1688,1,244,288,,,False,False,0,,,
289,BHARTIARTL,Mar 2020,87539,50930,36610,42,-37775,13992,27690,-42846,-28,-30664,-55,-3,289,,,False,False,0,,,
290,BHARTIARTL,Mar 2021,100616,55337,45279,45,-4215,15091,29404,-3432,99,-12364,-26,0,290,,,False,False,0,,,
291,BHARTIARTL,Mar 2022,116547,59013,57534,49,4656,16616,33091,12483,33,8305,7,39,291,,,False,False,0,,,
292,BHARTIARTL,Mar 2023,139145,67871,71274,51,1019,19300,36432,16561,26,12287,15,27,292,,,False,False,0,,,
293,BHARTIARTL,Mar 2024,149982,71691,78292,52,-3428,22648,39538,12679,32,8558,13,62,293,,,False,False,0,,,
294,BHARTIARTL,TTM,155478,74745,80733,52,2190,22424,41690,18809,,13816,22,,294,,,False,False,0,,,
295,BEL,Mar 2013,6273,5604,669,11,622,7,136,1147,21,911,1,20,295,,,False,False,0,,,
296,BEL,Mar 2014,6518,5593,925,14,438,7,150,1206,21,952,1,20,296,,,False,False,0,,,
297,BEL,Mar 2015,7093,5913,1179,17,507,7,166,1513,21,1197,2,20,297,,,False,False,0,,,
298,BEL,Mar 2016,7354,5961,1393,19,573,10,192,1764,24,1337,2,31,298,,,False,False,0,,,
299,BEL,Mar 2017,8656,6864,1792,21,420,18,212,1983,24,1523,2,33,299,,,False,False,0,,,
300,BEL,Mar 2018,10401,8361,2039,20,196,6,272,1957,28,1431,2,34,300,,,False,False,0,,,
301,BEL,Mar 2019,12164,9255,2909,24,73,16,338,2628,30,1887,3,44,301,,,False,False,0,,,
302,BEL,Mar 2020,12968,10209,2759,21,99,8,372,2478,28,1825,3,37,302,,,False,False,0,,,
303,BEL,Mar 2021,14109,10895,3214,23,125,10,387,2942,30,2100,3,46,303,,,False,False,0,,,
304,BEL,Mar 2022,15368,12024,3344,22,232,9,401,3166,26,2400,3,46,304,,,False,False,0,,,
305,BEL,Mar 2023,17734,13645,4090,23,281,19,429,3923,25,2986,4,44,305,,,False,False,0,,,
306,BEL,Mar 2024,20268,15217,5051,25,670,12,443,5266,25,3985,5,40,306,,,False,False,0,,,
307,BEL,TTM,21575,15867,5708,26,754,7,445,6010,,4541,6,,307,,,False,False,0,,,
308,BHEL,Mar 2013,48903,39420,9483,19,1132,128,957,9531,30,6693,18,20,308,,,False,False,0,,,
309,BHEL,Mar 2014,39561,34982,4579,12,1617,133,985,5078,31,3502,10,20,309,,,False,False,0,,,
310,BHEL,Mar 2015,31323,29183,2141,7,1221,92,1082,2187,34,1450,4,20,310,,,False,False,0,,,
311,BHEL,Mar 2016,25505,26862,-1357,-5,1492,360,937,-1161,-39,-706,-2,-14,311,,,False,False,0,,,
312,BHEL,Mar 2017,28465,27370,1095,4,753,413,850,586,22,455,1,85,312,,,False,False,0,,,
313,BHEL,Mar 2018,28827,27174,1653,6,679,330,787,1215,64,438,1,151,313,,,False,False,0,,,
314,BHEL,Mar 2019,30441,28409,2032,7,662,378,476,1840,46,1002,3,69,314,,,False,False,0,,,
315,BHEL,Mar 2020,21463,21596,-133,-1,590,613,503,-659,99,-1468,-4,0,315,,,False,False,0,,,
316,BHEL,Mar 2021,17309,20357,-3049,-18,393,467,473,-3596,-25,-2700,-8,0,316,,,False,False,0,,,
317,BHEL,Mar 2022,21211,20383,828,4,405,448,314,470,5,445,1,31,317,,,False,False,0,,,
318,BHEL,Mar 2023,23365,22321,1044,4,544,612,260,716,9,654,2,21,318,,,False,False,0,,,
319,BHEL,Mar 2024,23893,23182,711,3,608,828,249,243,-16,282,1,31,319,,,False,False,0,,,
320,BHEL,TTM,25833,24783,1050,4,527,746,248,583,,445,1,,320,,,False,False,0,,,
321,BOSCHLTD,Dec 2012,8659,7310,1350,16,369,6,367,1346,29,958,305,20,321,,,False,False,0,,,
322,BOSCHLTD,Dec 2013,8757,7468,1289,15,353,0,384,1257,30,885,282,20,322,,,False,False,0,,,
323,BOSCHLTD,Mar 2015,12086,10104,1981,16,537,14,548,1956,32,1338,426,20,323,,,False,False,0,,,
324,BOSCHLTD,Mar 2016,9701,7823,1878,19,623,13,386,2102,27,1531,488,17,324,,,False,False,0,,,
325,BOSCHLTD,Mar 2017,10435,8473,1963,19,912,27,456,2391,27,1741,570,29,325,,,False,False,0,,,
326,BOSCHLTD,Mar 2018,11690,9597,2093,18,418,3,467,2041,33,1371,449,22,326,,,False,False,0,,,
327,BOSCHLTD,Mar 2019,12085,9931,2154,18,600,13,402,2339,32,1598,542,19,327,,,False,False,0,,,
328,BOSCHLTD,Mar 2020,9842,8358,1483,15,-105,10,383,985,34,650,220,48,328,,,False,False,0,,,
329,BOSCHLTD,Mar 2021,9718,8555,1163,12,-241,14,341,567,15,482,164,70,329,,,False,False,0,,,
330,BOSCHLTD,Mar 2022,11782,10319,1462,12,391,29,324,1500,19,1217,413,51,330,,,False,False,0,,,
331,BOSCHLTD,Mar 2023,14929,13120,1810,13,471,12,386,1882,24,1424,483,99,331,,,False,False,0,,,
332,BOSCHLTD,Mar 2024,16727,14632,2095,13,1566,51,430,3181,22,2490,844,44,332,,,False,False,0,,,
