"bluestock_fintech_—_nifty_100__|__documents__|__1,585_records",unnamed:_1,unnamed:_2,unnamed:_3,year_label,fiscal_year,quarter,is_ttm,is_half_year,sort_order
149,ATGL,2020,https://www.bseindia.com/bseplus/AnnualReport/542066/5420660320.pdf,149,,,False,False,0
150,ATGL,2019,https://www.bseindia.com/bseplus/AnnualReport/542066/5420660319.pdf,150,,,False,False,0
151,ATGL,2018,Null,151,,,False,False,0
152,ATGL,2017,Null,152,,,False,False,0
153,ATGL,2016,Null,153,,,False,False,0
154,ATGL,2015,Null,154,,,False,False,0
155,ATGL,2014,Null,155,,,False,False,0
156,ATGL,2013,Null,156,,,False,False,0
157,ATGL,2012,Null,157,,,False,False,0
158,ATGL,2011,Null,158,,,False,False,0
159,ATGL,2010,Null,159,,,False,False,0
160,ATGL,2009,Null,160,,,False,False,0
161,AXISBANK,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/93457ea2-9cfe-4d6c-98ec-12e62c07ff0b.pdf,161,,,False,False,0
162,AXISBANK,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//90b930a8-4c38-4490-afd8-3eb51a9331c8.pdf,162,,,False,False,0
163,AXISBANK,2022,https://www.bseindia.com/bseplus/AnnualReport/532215/73342532215.pdf,163,,,False,False,0
164,AXISBANK,2021,https://www.bseindia.com/bseplus/AnnualReport/532215/68747532215.pdf,164,,,False,False,0
165,AXISBANK,2020,https://www.bseindia.com/bseplus/AnnualReport/532215/5322150320.pdf,165,,,False,False,0
166,AXISBANK,2019,https://www.bseindia.com/bseplus/AnnualReport/532215/5322150319.pdf,166,,,False,False,0
167,AXISBANK,2018,https://www.bseindia.com/bseplus/AnnualReport/532215/5322150318.pdf,167,,,False,False,0
168,AXISBANK,2017,https://www.bseindia.com/bseplus/AnnualReport/532215/5322150317.pdf,168,,,False,False,0
169,AXISBANK,2016,https://www.bseindia.com/bseplus/AnnualReport/532215/5322150316.pdf,169,,,False,False,0
170,AXISBANK,2015,https://www.bseindia.com/bseplus/AnnualReport/532215/5322150315.pdf,170,,,False,False,0
