"bluestock_fintech_—_nifty_100__|__cash_flow__|__1,187_records",unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,year_label,fiscal_year,quarter,is_ttm,is_half_year,sort_order,free_cash_flow
531,HCLTECH,Mar 2018,8328,-2236,-5714,378,531,,,False,False,0,
532,HCLTECH,Mar 2019,8971,-3256,-1471,4244,532,,,False,False,0,
533,HCLTECH,Mar 2020,13359,-12332,-3168,-2141,533,,,False,False,0,
534,HCLTECH,Mar 2021,19618,-5665,-11192,2761,534,,,False,False,0,
535,HCLTECH,Mar 2022,16900,1597,-14508,3989,535,,,False,False,0,
536,HCLTECH,Mar 2023,18009,-3573,-15881,-1445,536,,,False,False,0,
537,HCLTECH,Mar 2024,22448,-6608,-15464,376,537,,,False,False,0,
538,HDFCBANK,Mar 2013,-5847,-902,13105,6356,538,,,False,False,0,
539,HDFCBANK,Mar 2014,4211,-1099,9270,12382,539,,,False,False,0,
540,HDFCBANK,Mar 2015,-21281,-800,18694,-3387,540,,,False,False,0,
541,HDFCBANK,Mar 2016,-34435,-837,37815,2542,541,,,False,False,0,
542,HDFCBANK,Mar 2017,17282,-1146,-5893,10242,542,,,False,False,0,
543,HDFCBANK,Mar 2018,17214,-842,57378,73750,543,,,False,False,0,
544,HDFCBANK,Mar 2019,-62872,-1503,23131,-41244,544,,,False,False,0,
545,HDFCBANK,Mar 2020,-16869,-1403,24394,6122,545,,,False,False,0,
546,HDFCBANK,Mar 2021,42476,-1823,-7321,33332,546,,,False,False,0,
547,HDFCBANK,Mar 2022,-11960,-2051,48124,34113,547,,,False,False,0,
548,HDFCBANK,Mar 2023,20814,-2992,23941,41762,548,,,False,False,0,
549,HDFCBANK,Mar 2024,19069,16600,-3983,31687,549,,,False,False,0,
550,HDFCLIFE,Mar 2013,,,,,550,,,False,False,0,
551,HDFCLIFE,Mar 2014,,,,,551,,,False,False,0,
552,HDFCLIFE,Mar 2015,4459,-3514,-168,777,552,,,False,False,0,
553,HDFCLIFE,Mar 2016,5687,-3962,-212,1513,553,,,False,False,0,
554,HDFCLIFE,Mar 2017,6230,-5177,-236,817,554,,,False,False,0,
555,HDFCLIFE,Mar 2018,6739,-4421,-196,2122,555,,,False,False,0,
556,HDFCLIFE,Mar 2019,9868,-10182,-337,-651,556,,,False,False,0,
557,HDFCLIFE,Mar 2020,7388,-7789,38,-364,557,,,False,False,0,
558,HDFCLIFE,Mar 2021,9703,-8952,678,1429,558,,,False,False,0,
559,HDFCLIFE,Mar 2022,5943,-801,-238,4904,559,,,False,False,0,
560,HDFCLIFE,Mar 2023,6883,-10071,1985,-1203,560,,,False,False,0,
561,HDFCLIFE,Mar 2024,10721,-13614,-403,-3296,561,,,False,False,0,
