id,company_id,year,annual_report
340,BRITANNIA,2021,https://www.bseindia.com/bseplus/AnnualReport/500825/69500500825.pdf
341,BRITANNIA,2020,https://www.bseindia.com/bseplus/AnnualReport/500825/5008250320.pdf
342,BRITANNIA,2019,https://www.bseindia.com/bseplus/AnnualReport/500825/5008250319.pdf
343,BRITANNIA,2018,https://www.bseindia.com/bseplus/AnnualReport/500825/5008250318.pdf
344,BRITANNIA,2017,https://www.bseindia.com/bseplus/AnnualReport/500825/5008250317.pdf
345,BRITANNIA,2016,https://www.bseindia.com/bseplus/AnnualReport/500825/5008250316.pdf
346,BRITANNIA,2015,https://www.bseindia.com/bseplus/AnnualReport/500825/5008250315.pdf
347,BRITANNIA,2014,https://www.bseindia.com/bseplus/AnnualReport/500825/5008250314.pdf
348,BRITANNIA,2013,https://www.bseindia.com/bseplus/AnnualReport/500825/5008250313.pdf
349,BRITANNIA,2012,https://www.bseindia.com/bseplus/AnnualReport/500825/5008250312.pdf
350,BRITANNIA,2011,https://www.bseindia.com/bseplus/AnnualReport/500825/5008250311.pdf
351,BRITANNIA,2010,
352,BRITANNIA,2009,
353,CANBK,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/e755e34b-9a3b-4082-ba59-ddca97649e44.pdf
354,CANBK,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//d3a9c942-7be2-4c86-ac05-b257cddf1505.pdf
355,CANBK,2022,https://www.bseindia.com/bseplus/AnnualReport/532483/73046532483_17_06_22.pdf
356,CANBK,2021,https://www.bseindia.com/bseplus/AnnualReport/532483/68835532483.pdf
357,CANBK,2020,https://www.bseindia.com/bseplus/AnnualReport/532483/5324830320.pdf
358,CANBK,2019,https://www.bseindia.com/bseplus/AnnualReport/532483/5324830319.pdf
359,CANBK,2018,https://www.bseindia.com/bseplus/AnnualReport/532483/5324830318.pdf
360,CANBK,2017,https://www.bseindia.com/bseplus/AnnualReport/532483/5324830317.pdf
361,CANBK,2016,https://www.bseindia.com/bseplus/AnnualReport/532483/5324830316.pdf
362,CANBK,2015,https://www.bseindia.com/bseplus/AnnualReport/532483/5324830315.pdf
363,CANBK,2014,https://www.bseindia.com/bseplus/AnnualReport/532483/5324830314.pdf
364,CANBK,2013,https://www.bseindia.com/bseplus/AnnualReport/532483/5324830313.pdf
365,CANBK,2012,https://www.bseindia.com/bseplus/AnnualReport/532483/5324830312.pdf
366,CANBK,2011,https://www.bseindia.com/bseplus/AnnualReport/532483/5324830311.pdf
367,CANBK,2010,
368,CANBK,2009,
369,CHOLAFIN,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/b5933e1a-170f-4f29-8557-d74886996b98.pdf
370,CHOLAFIN,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//bbc7892b-4e97-4051-8524-75afcf4197b7.pdf
371,CHOLAFIN,2022,https://www.bseindia.com/bseplus/AnnualReport/511243/73556511243.pdf
372,CHOLAFIN,2021,https://www.bseindia.com/bseplus/AnnualReport/511243/68836511243.pdf
373,CHOLAFIN,2020,https://www.bseindia.com/bseplus/AnnualReport/511243/5112430320.pdf
374,CHOLAFIN,2019,https://www.bseindia.com/bseplus/AnnualReport/511243/5112430319.pdf
375,CHOLAFIN,2018,https://www.bseindia.com/bseplus/AnnualReport/511243/5112430318.pdf
376,CHOLAFIN,2017,https://www.bseindia.com/bseplus/AnnualReport/511243/5112430317.pdf
377,CHOLAFIN,2016,https://www.bseindia.com/bseplus/AnnualReport/511243/5112430316.pdf
378,CHOLAFIN,2015,
379,CHOLAFIN,2014,https://www.bseindia.com/bseplus/AnnualReport/511243/5112430314.pdf
380,CHOLAFIN,2013,https://www.bseindia.com/bseplus/AnnualReport/511243/5112430313.pdf
381,CHOLAFIN,2012,https://www.bseindia.com/bseplus/AnnualReport/511243/5112430312.pdf
382,CHOLAFIN,2011,https://www.bseindia.com/bseplus/AnnualReport/511243/5112430311.pdf
383,CHOLAFIN,2010,
384,CHOLAFIN,2009,
385,CIPLA,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/9ec11f08-4ca3-4060-8cd4-2cfad0af4959.pdf
386,CIPLA,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//8b1af9c1-e37f-4ff0-8583-a71bff16fb42.pdf
387,CIPLA,2022,https://www.bseindia.com/bseplus/AnnualReport/500087/74053500087.pdf
388,CIPLA,2021,https://www.bseindia.com/bseplus/AnnualReport/500087/69187500087.pdf
389,CIPLA,2020,https://www.bseindia.com/bseplus/AnnualReport/500087/5000870320.pdf
390,CIPLA,2019,https://www.bseindia.com/bseplus/AnnualReport/500087/5000870319.pdf
391,CIPLA,2018,https://www.bseindia.com/bseplus/AnnualReport/500087/5000870318.pdf
392,CIPLA,2017,https://www.bseindia.com/bseplus/AnnualReport/500087/5000870317.pdf
393,CIPLA,2016,https://www.bseindia.com/bseplus/AnnualReport/500087/5000870316.pdf
394,CIPLA,2015,https://www.bseindia.com/bseplus/AnnualReport/500087/5000870315.pdf
395,CIPLA,2014,https://www.bseindia.com/bseplus/AnnualReport/500087/5000870314.pdf
396,CIPLA,2013,https://www.bseindia.com/bseplus/AnnualReport/500087/5000870313.pdf
397,CIPLA,2012,https://www.bseindia.com/bseplus/AnnualReport/500087/5000870312.pdf
398,CIPLA,2011,https://www.bseindia.com/bseplus/AnnualReport/500087/5000870311.pdf
399,CIPLA,2010,
400,CIPLA,2009,
401,COALINDIA,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ecb5c7db-530d-4a07-a38f-392f0007f2a1.pdf
402,COALINDIA,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//c88588ee-e8d9-47d9-8a4a-2ea3c94059fc.pdf
403,COALINDIA,2022,https://www.bseindia.com/bseplus/AnnualReport/533278/73965533278_09_08_22.pdf
404,COALINDIA,2021,https://www.bseindia.com/bseplus/AnnualReport/533278/69506533278.pdf
405,COALINDIA,2020,https://www.bseindia.com/bseplus/AnnualReport/533278/65189533278.pdf
406,COALINDIA,2019,https://www.bseindia.com/bseplus/AnnualReport/533278/5332780319.pdf
407,COALINDIA,2018,https://www.bseindia.com/bseplus/AnnualReport/533278/5332780318.pdf
408,COALINDIA,2017,https://www.bseindia.com/bseplus/AnnualReport/533278/5332780317.pdf
409,COALINDIA,2016,https://www.bseindia.com/bseplus/AnnualReport/533278/5332780316.pdf
410,COALINDIA,2015,https://www.bseindia.com/bseplus/AnnualReport/533278/5332780315.pdf
411,COALINDIA,2014,https://www.bseindia.com/bseplus/AnnualReport/533278/5332780314.pdf
412,COALINDIA,2013,https://www.bseindia.com/bseplus/AnnualReport/533278/5332780313.pdf
413,COALINDIA,2012,https://www.bseindia.com/bseplus/AnnualReport/533278/5332780312.pdf
414,COALINDIA,2011,https://www.bseindia.com/bseplus/AnnualReport/533278/5332780311.pdf
415,COALINDIA,2010,
416,COALINDIA,2009,https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2009/COAL_INDIA_LTD-533278-MARCH-2009.PDF
417,DABUR,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/b6f3ff71-f4ec-428e-a42f-7cb240b20049.pdf
418,DABUR,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//a8dfb6ee-147c-45ab-8d51-4a7fc4ebfacb.pdf
419,DABUR,2022,https://www.bseindia.com/bseplus/AnnualReport/500096/73713500096.pdf
420,DABUR,2021,https://www.bseindia.com/bseplus/AnnualReport/500096/69003500096_28_07_21.pdf
421,DABUR,2020,https://www.bseindia.com/bseplus/AnnualReport/500096/5000960320.pdf
422,DABUR,2019,https://www.bseindia.com/bseplus/AnnualReport/500096/5000960319.pdf
423,DABUR,2018,https://www.bseindia.com/bseplus/AnnualReport/500096/5000960318.pdf
424,DABUR,2017,https://www.bseindia.com/bseplus/AnnualReport/500096/5000960317.pdf
425,DABUR,2016,https://www.bseindia.com/bseplus/AnnualReport/500096/5000960316.pdf
426,DABUR,2015,https://www.bseindia.com/bseplus/AnnualReport/500096/5000960315.pdf
427,DABUR,2014,https://www.bseindia.com/bseplus/AnnualReport/500096/5000960314.pdf
428,DABUR,2013,https://www.bseindia.com/bseplus/AnnualReport/500096/5000960313.pdf
429,DABUR,2012,https://www.bseindia.com/bseplus/AnnualReport/500096/5000960312.pdf
430,DABUR,2011,https://www.bseindia.com/bseplus/AnnualReport/500096/5000960311.pdf
431,DABUR,2010,
432,DABUR,2009,
433,DLF,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/7b4e6db4-6c28-43e5-a871-b7dfe76ebeb4.pdf
434,DLF,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//80889d6c-c7d4-49c4-aa3c-17fe5cee5f38.pdf
435,DLF,2022,https://www.bseindia.com/bseplus/AnnualReport/532868/73790532868.pdf
436,DLF,2021,https://www.bseindia.com/bseplus/AnnualReport/532868/69373532868.pdf
437,DLF,2020,https://www.bseindia.com/bseplus/AnnualReport/532868/65287532868.pdf
438,DLF,2019,https://www.bseindia.com/bseplus/AnnualReport/532868/5328680319.pdf
439,DLF,2018,
440,DLF,2017,
441,DLF,2016,https://www.bseindia.com/bseplus/AnnualReport/532868/5328680316.pdf
442,DLF,2015,https://www.bseindia.com/bseplus/AnnualReport/532868/5328680315.pdf
443,DLF,2014,https://www.bseindia.com/bseplus/AnnualReport/532868/5328680314.pdf
444,DLF,2013,https://www.bseindia.com/bseplus/AnnualReport/532868/5328680313.pdf
445,DLF,2012,https://www.bseindia.com/bseplus/AnnualReport/532868/5328680312.pdf
446,DLF,2011,https://www.bseindia.com/bseplus/AnnualReport/532868/5328680311.pdf
447,DLF,2010,
448,DLF,2009,
449,DMART,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/14f569a2-0850-4e73-aa38-69494b1142cb.pdf
450,DMART,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//73ffab69-cd41-4f5d-a4d4-0c1894813d31.pdf
